




5909450016,F
5909520016,F
5909520024,F
5909520032,F
5909610015,F
5909610031,F
5909610056,F
5909610064,F
5909610080,F
5909610098,F
5909610122,F
5909610148,F
5909610155,F
5909610163,F
5909610205,F
5909610239,F
5909610247,F
5909610254,D
5909610262,D
5909610288,D+
5909450016,F
5909520016,F
5909520024,F
5909520032,F
5909610015,F
5909610031,F
5909610056,F
5909610064,F
5909610080,F
5909610098,F
5909610122,F
5909610148,F
5909610155,F
5909610163,F
5909610205,F
5909610239,F
5909610247,F
5909610254,D
5909610262,D
5909610288,D+
5909450016,F
5909520016,F
5909520024,F
5909520032,F
5909610015,F
5909610031,F
5909610056,F
5909610064,F
5909610080,F
5909610098,F
5909610122,F
5909610148,F
5909610155,F
5909610163,F
5909610205,F
5909610239,F
5909610247,F
5909610254,D
5909610262,D
5909610288,D+
